kdrama_id,director
661d4193916c4e71a2c70473ab11e9e8,So Joon Moon
5ffcbeaa17114714af1959129984274c,not found
65075cb9c1a54be4a441cee6f16c9fdf,Han Dong Hwa
df0f0ac4b3ff4b15afa26f5a7a53a328,not found
04c1fe41948e464fb440001831d74d41,Kim Chul Gyu
2e06f3f0c28942fd8b8e4780f5e666dc,not found
e632ba76285f438d9448852dd31bcd96,Kim Chil Bong
4c99e91ea0d447639659b8c33f92c909,Lee Jung Rim
4c99e91ea0d447639659b8c33f92c909,Kim Jae Hong
4afb1765522e4274ad993de46e3fb02e,not found
565dbf05b124487fa6abf463ae6eeece,Jung Ji Hyun
24ecf5e1ed6b4d60a6e2e179fc845666,Im Hyun Wook
24ecf5e1ed6b4d60a6e2e179fc845666,Choi Sun Min
46b4058342e44e53aa218ac1dd40c77c,Lee Na Jung
6dca9e88afdb445bbe008289540f56f0,not found
9213b6aa40cc454d8155d68322c73fbd,Yang Kyung Hee
e16e394bd66847fa87501e8bbf4062e8,not found
b5b3c87821834977b4a94c0b74fa9be1,not found
e40375435aa7440e8303aaaea4cc8648,Kang Hee Ju
ede6d42db893475c8b8383e6d680ab0f,not found
a4b48d65e0704101bc0f77b36bb6b5ee,Kim Yoon Cheol
147ea55381da4886aead4a4329c6eabc,Lee Soo Hyun
0c9607d2ecac493a8d83ef254870c401,Lee Jong Pil
47b65449450d478c96e0612571583cdf,Park Sun Jae
47b65449450d478c96e0612571583cdf,Kim Hoon Gwang
213b74d7e6e542baa6a8f3ee394ce43e,Kim Eun Kyung
213b74d7e6e542baa6a8f3ee394ce43e,Oh Hwan Min
e27854d516a540a58be30f87b77906f5,not found
131df87dd38a4036bed05a8b4f96c891,Lee Dong Yoon
d623b6c1059c493c8b7fe4c4fa3f107b,Park Joon Sik
2ace8af95b164196a3ad74c147c51f65,Kang Shin Hyo
2ace8af95b164196a3ad74c147c51f65,Jo Nam Hyung
1470331acb00483eaaa620cbfbc81737,Kim Jin Sung
756ab26b55c44e1da0c6ede35d41b712,So Joon Moon
3974d947cd2d4408a4f9d18b42b8a1c7,Kang Soo Yeon
3974d947cd2d4408a4f9d18b42b8a1c7,Lee Woong Hee
69218fd6536e4fbbad34d6b5b7e8e861,not found
4231465c4db740d99c3a91377e851167,Yoo In Shik
95b9396130b1478398d12faf08797097,Min Chae Yeon
32f5d659283342499ea843a95a82a163,Shim Na Yeon
ddbb3f7643a741cab040a5d901ff5621,Kang Ho Jun
6b7782a36bfd47a4a787018ab0b3c5fb,Sung Yong Il
9a7ab3e975a14d53b4168b70b1264ab0,not found
ddf16355b9ac4a99bbc9944005716be8,Ryu Kwang Hyun
36a8ad9a260f4e9785eb84a352ed1082,Jang Jung Do
36a8ad9a260f4e9785eb84a352ed1082,Lee Jung Mook
797990c3edb0455684569d2c9b6fb8f8,Kim Dae Jin
797990c3edb0455684569d2c9b6fb8f8,Kim Jung Wook
df60bafa9d4e48fe892e5a3224ee95a4,Oh Jin Suk
3a1eb86b79944960b52877b8570a5614,Choi Joon Bae
3a1eb86b79944960b52877b8570a5614,Min Jung Ah
297ac1c142f246658fcfde4a08bb8ba4,Seo Min Jung
297ac1c142f246658fcfde4a08bb8ba4,Lee Tae Gon
ce34fc07d8e24fa28d2aa66b73e2b916,Yoo Jong Sun
ce34fc07d8e24fa28d2aa66b73e2b916,Kim Seung Woo
5d09282602294569ad3b03d314fd4656,Kim Hong Seon
80c7288b96724e56be7facb88b4b52f5,Lee Han Joon
80c7288b96724e56be7facb88b4b52f5,Kim Seung Ho
18e59f4c002046a68a2b22244f0ce58d,Sung Yong Il
84f5fe50666c49a7b6f06f000cf9d25f,not found
4f73eff09b454c9c92641e385951f120,Kim Jung Min
002397298f1d4b01abe2abcb0e1f5050,not found
b5f931b0e63048d6a5f20c9f42632979,Jang Eui Soon
9fac512793284ba0bcbaefbdce239691,not found
8008ffaff64a4062869651228745421a,not found
8d7a9e8c74574726a484d0bee21c16e6,Shin Chang Seok
817ebe18a7f14573b13c908f9792c390,Choi Young Hoon
39d32332c2d44961bc25e34e297dcce9,Ahn Gil Ho
f9860c4b65b746d7af2b545cd152a4b6,Lim Hyun Hee
3f26130cdd9f48f88542b5fd2102a8ca,Han Hee
3f26130cdd9f48f88542b5fd2102a8ca,Yoon Sung Shik
a765b71b943b40bc96b49a13fd68d8ea,Lee Jae Hoon
720ff247e2104d75a910d3060864adde,Kim Jin Yeol
2b7d38ace2f34aa5a3d9cf527a2895ec,Kang Sol
2b7d38ace2f34aa5a3d9cf527a2895ec,Park Dae Hee
43ba2a24cdfb4432813ae5b62bc0afcf,Bae Jong
146e8db529d94c74b0d46d5c61205c87,Lee Kwang Young
eb828795b827408ab3eb9ae2a72cb507,Lee Dan
a7edc4aac88b46c28b03f1e1e15ce750,Nam Ki Hoon
18811f65d69b4421b480ce172a270bbc,Lee So Yoon
a1d22c0ed9d7434cb019808fbb84931d,Kim Jung Kwon
074678b51cc146099fa77f8019c6f932,not found
074a402ced184a2d944b0be2915e9c6b,Lee Jong Jae
9d36063c5c4c43f88286381e3da0c2e0,Kim Hong Seon
e54c33c0a6ee4710bffba974009a3b87,Baek Soo Chan
e54c33c0a6ee4710bffba974009a3b87,Kim Ji Hoon
b7e91068ff774313b7830c4ecd788e56,Baek Min Hee
13e0534998514029bd39c66254b65035,Kim Jin Yeol
d2709c06e0734246a530a8dce3b672d7,Son Jae Gon
a6f6db048d0643e8a60dcaf048a0f6a0,not found
247b9e25c4dc485b872874728c58de78,Yoo Je Won
6ecc3c31bbbc4f9d81b0e32f99aadcd0,Park Won Gook
6ecc3c31bbbc4f9d81b0e32f99aadcd0,Kang Hee Ju
a416da71b0784251ab04bb709df663d3,Lee Chang Min
b8c250f350394f50a59123da00c8da59,Lee Won Tae
c9c05261383941d680b63c1fffb1e990,Lee Jin Seo
222e99e106ea4c77a813cada533ba427,Ahn Gil Ho
b5315a2fbebc4e7b8452bb120b803509,Bae Jong
381409f415584820a837fce6a34bdab3,Yoon Ra Young
95e4c83d559b4912936bd1ad5fb3dd0a,Kim Jung Hyun
03a6fb0ecaed4b8cb1ab4e6afe7d371d,Jo Young Min
6b6da65381a7445db16949e0112202a3,Kim Jho Kwang Soo
4c2c09a237e04a379d6c0087df3b11b6,not found
c8fbe1db8fea4a609efc900be0cd0301,Kim Moon Kyo
