kdrama_id,drama_name,year,tot_eps,duration,aired_on,org_net
661d4193916c4e71a2c70473ab11e9e8,Sing My Crush,2023,8,1500,Wednesday,not found
5ffcbeaa17114714af1959129984274c,D.P. Season 2,2023,6,3000,Friday,Netflix
65075cb9c1a54be4a441cee6f16c9fdf,Shadow Detective Season 2,2023,8,3300,Wednesday,Disney+ Hulu
df0f0ac4b3ff4b15afa26f5a7a53a328,To Be Honest,2023,3,600,Friday,not found
04c1fe41948e464fb440001831d74d41,Celebrity,2023,12,2700,Friday,Netflix
2e06f3f0c28942fd8b8e4780f5e666dc,Blue Temperature,2023,4,420,Wednesday,Naver TV Cast
e632ba76285f438d9448852dd31bcd96,Numbers,2023,12,3600,"Friday, Saturday",MBC
4c99e91ea0d447639659b8c33f92c909,Revenant,2023,12,4200,"Friday, Saturday",SBS
4afb1765522e4274ad993de46e3fb02e,Adult Kids,2023,8,600,Monday,not found
565dbf05b124487fa6abf463ae6eeece,Lies Hidden in My Garden,2023,8,3600,"Monday, Tuesday",ENA Genie TV
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,2023,16,4800,"Saturday, Sunday",jTBC Netflix TVING
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,2023,12,4200,"Saturday, Sunday",Netflix TVING tvN
6dca9e88afdb445bbe008289540f56f0,Bloodhounds,2023,8,3600,Friday,Netflix
9213b6aa40cc454d8155d68322c73fbd,Love Tractor,2023,8,1500,Wednesday,not found
e16e394bd66847fa87501e8bbf4062e8,Romance by Romance,2023,10,900,Wednesday,not found
b5b3c87821834977b4a94c0b74fa9be1,The Villain of Romance,2023,10,2700,"Monday, Tuesday",MBC Dramanet
e40375435aa7440e8303aaaea4cc8648,Sound Candy,2023,10,900,Saturday,TVING
ede6d42db893475c8b8383e6d680ab0f,Bitch X Rich,2023,10,2100,Wednesday,Netflix
a4b48d65e0704101bc0f77b36bb6b5ee,Battle for Happiness,2023,16,4200,"Wednesday, Thursday",Amazon Prime ENA TVING
147ea55381da4886aead4a4329c6eabc,Delightfully Deceitful,2023,16,4200,"Monday, Tuesday",tvN
0c9607d2ecac493a8d83ef254870c401,One Day Off,2023,8,1500,Wednesday,not found
47b65449450d478c96e0612571583cdf,Star Struck,2023,8,1020,Thursday,not found
213b74d7e6e542baa6a8f3ee394ce43e,Oh! Youngsim,2023,10,3000,"Monday, Tuesday",ENA Genie TV
e27854d516a540a58be30f87b77906f5,Black Knight,2023,6,2520,Friday,Netflix
131df87dd38a4036bed05a8b4f96c891,Race,2023,12,3480,Wednesday,Disney+ Hulu
d623b6c1059c493c8b7fe4c4fa3f107b,It Was Spring,2023,8,1020,Monday,KBS1
2ace8af95b164196a3ad74c147c51f65,Tale of the Nine-Tailed 1938,2023,12,4200,"Saturday, Sunday",tvN
1470331acb00483eaaa620cbfbc81737,All That We Loved,2023,8,2100,Friday,TVING
756ab26b55c44e1da0c6ede35d41b712,Love Mate,2023,8,1200,Thursday,not found
3974d947cd2d4408a4f9d18b42b8a1c7,My Perfect Stranger,2023,16,4200,"Monday, Tuesday",KBS2 ViuTV
69218fd6536e4fbbad34d6b5b7e8e861,Finland Papa,2023,6,1680,"Saturday, Sunday",not found
4231465c4db740d99c3a91377e851167,Dr. Romantic Season 3,2023,16,4200,"Friday, Saturday",SBS
95b9396130b1478398d12faf08797097,Happy Merry Ending,2023,8,900,"Thursday, Friday",not found
32f5d659283342499ea843a95a82a163,The Good Bad Mother,2023,14,4200,"Wednesday, Thursday",jTBC Netflix TVING
ddbb3f7643a741cab040a5d901ff5621,Queen of Masks,2023,16,4800,"Monday, Tuesday",Channel A
6b7782a36bfd47a4a787018ab0b3c5fb,Duty After School: Part 2,2023,4,4200,Friday,TVING
9a7ab3e975a14d53b4168b70b1264ab0,My 20th Twenty,2023,12,900,"Friday, Saturday",not found
ddf16355b9ac4a99bbc9944005716be8,Strong Underdog,2023,6,1320,not found,not found
36a8ad9a260f4e9785eb84a352ed1082,Family: The Unbreakable Bond,2023,12,4800,"Monday, Tuesday",TVING tvN
797990c3edb0455684569d2c9b6fb8f8,Doctor Cha,2023,16,3600,"Saturday, Sunday",jTBC Netflix
df60bafa9d4e48fe892e5a3224ee95a4,Queenmaker,2023,11,4020,Friday,Netflix
3a1eb86b79944960b52877b8570a5614,Stealer: The Treasure Keeper,2023,12,3600,"Wednesday, Thursday",tvN
297ac1c142f246658fcfde4a08bb8ba4,Bo Ra! Deborah,2023,14,4200,"Wednesday, Thursday",ENA TVING
ce34fc07d8e24fa28d2aa66b73e2b916,Pale Moon,2023,10,3900,"Monday, Tuesday",ENA Genie TV
5d09282602294569ad3b03d314fd4656,Decoy: Part 2,2023,6,3480,Friday,not found
80c7288b96724e56be7facb88b4b52f5,Joseon Attorney: A Morality,2023,16,4200,"Friday, Saturday",MBC
18e59f4c002046a68a2b22244f0ce58d,Duty After School: Part 1,2023,6,4440,Friday,TVING
84f5fe50666c49a7b6f06f000cf9d25f,The Eighth Sense,2023,10,2400,Wednesday,not found
4f73eff09b454c9c92641e385951f120,The Secret Romantic Guesthouse,2023,18,4200,"Monday, Tuesday",SBS ViuTV
002397298f1d4b01abe2abcb0e1f5050,Welcome to the Lesbian Bar,2023,5,360,Saturday,not found
b5f931b0e63048d6a5f20c9f42632979,Unintentional Love Story,2023,10,2100,Friday,TVING
9fac512793284ba0bcbaefbdce239691,A Shoulder to Cry On,2023,7,1800,"Tuesday, Wednesday",not found
8008ffaff64a4062869651228745421a,My Sister,2023,10,480,not found,not found
8d7a9e8c74574726a484d0bee21c16e6,Woman in a Veil,2023,103,2400,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2
817ebe18a7f14573b13c908f9792c390,Pandora: Beneath the Paradise,2023,16,3720,"Saturday, Sunday",Hulu TVING tvN
39d32332c2d44961bc25e34e297dcce9,The Glory Part 2,2023,8,3300,Friday,Netflix
f9860c4b65b746d7af2b545cd152a4b6,Our Dating Sim,2023,8,900,Thursday,not found
3f26130cdd9f48f88542b5fd2102a8ca,Oasis,2023,16,4200,"Monday, Tuesday",KBS2 Viki
a765b71b943b40bc96b49a13fd68d8ea,Divorce Attorney Shin,2023,12,3600,"Saturday, Sunday",jTBC Netflix TVING
720ff247e2104d75a910d3060864adde,All the Liquors,2023,8,1140,Thursday,not found
2b7d38ace2f34aa5a3d9cf527a2895ec,Delivery Man,2023,12,4200,"Wednesday, Thursday",ENA Genie TV ViuTV
43ba2a24cdfb4432813ae5b62bc0afcf,Island Part 2,2023,6,2700,Friday,Amazon Prime TVING
146e8db529d94c74b0d46d5c61205c87,Call It Love,2023,16,4200,Wednesday,Disney+ Hulu
eb828795b827408ab3eb9ae2a72cb507,Taxi Driver Season 2,2023,16,4200,"Friday, Saturday",SBS ViuTV
a7edc4aac88b46c28b03f1e1e15ce750,Big Bet Season 2,2023,8,3600,Wednesday,Disney+ Hulu
18811f65d69b4421b480ce172a270bbc,The Heavenly Idol,2023,12,4200,"Wednesday, Thursday",TVING tvN
a1d22c0ed9d7434cb019808fbb84931d,Love to Hate You,2023,10,3120,Friday,Netflix
074678b51cc146099fa77f8019c6f932,Something Unique,2023,4,660,not found,not found
074a402ced184a2d944b0be2915e9c6b,Our Blooming Youth,2023,20,4800,"Monday, Tuesday",TVING tvN
9d36063c5c4c43f88286381e3da0c2e0,Decoy: Part 1,2023,6,3960,Friday,not found
e54c33c0a6ee4710bffba974009a3b87,Kokdu: Season of Deity,2023,16,4800,"Friday, Saturday",MBC
b7e91068ff774313b7830c4ecd788e56,Our D-Day,2023,6,1020,"Thursday, Friday",not found
13e0534998514029bd39c66254b65035,Individual Circumstances,2023,8,1020,Thursday,not found
