user_id,title,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score,n_helpful,review_id,ep_watched,kdrama_id
c8ffdab3f2a338eeb54b265598dbbb55,Sing My Crush,9.0,9.0,10.0,9.0,9.0,23,c8ffdab3f2a338eeb54b265598dbbb55_sing_my_crush,8,661d4193916c4e71a2c70473ab11e9e8
c8ffdab3f2a338eeb54b265598dbbb55,Happy Merry Ending,5.0,7.0,9.0,4.0,6.5,31,c8ffdab3f2a338eeb54b265598dbbb55_happy_merry_ending,8,95b9396130b1478398d12faf08797097
c8ffdab3f2a338eeb54b265598dbbb55,Duty After School: Part 2,4.0,9.0,3.0,1.0,4.0,121,c8ffdab3f2a338eeb54b265598dbbb55_duty_after_school_part_2,4,6b7782a36bfd47a4a787018ab0b3c5fb
c8ffdab3f2a338eeb54b265598dbbb55,Our Dating Sim,9.0,9.5,9.0,9.0,9.0,79,c8ffdab3f2a338eeb54b265598dbbb55_our_dating_sim,8,f9860c4b65b746d7af2b545cd152a4b6
c8ffdab3f2a338eeb54b265598dbbb55,The Director Who Buys Me Dinner,7.5,8.5,7.0,6.0,7.0,66,c8ffdab3f2a338eeb54b265598dbbb55_the_director_who_buys_me_dinner,10,d6f2eb3a6fb7426587a69d9ea607ec68
c8ffdab3f2a338eeb54b265598dbbb55,Unlock My Boss,9.0,9.5,7.0,8.0,8.5,26,c8ffdab3f2a338eeb54b265598dbbb55_unlock_my_boss,12,9f18660af3e84496b65832d2e8b36c5b
c8ffdab3f2a338eeb54b265598dbbb55,Roommates of Poongduck 304,8.0,9.0,9.0,9.0,9.0,72,c8ffdab3f2a338eeb54b265598dbbb55_roommates_of_poongduck_304,8,1c135017a2ca403fb696b333753a71e1
c8ffdab3f2a338eeb54b265598dbbb55,The Golden Spoon,8.0,9.0,6.0,8.0,8.0,37,c8ffdab3f2a338eeb54b265598dbbb55_the_golden_spoon,16,38bed0dcd0644ee897ef84d587aabd78
c8ffdab3f2a338eeb54b265598dbbb55,Big Mouth,8.5,10.0,8.0,8.5,8.5,101,c8ffdab3f2a338eeb54b265598dbbb55_big_mouth,16,49846934ef8d4b719668046fe9b1b2a9
c8ffdab3f2a338eeb54b265598dbbb55,Blueming,8.0,9.5,7.0,7.0,8.5,76,c8ffdab3f2a338eeb54b265598dbbb55_blueming,11,7edb2a10033f41a89fc05a1dc564698a
c8ffdab3f2a338eeb54b265598dbbb55,Grid,6.5,9.0,5.0,6.0,6.5,52,c8ffdab3f2a338eeb54b265598dbbb55_grid,10,d2e509b0293549bab62b76a9f8630956
