actor_id,actor_name,drama_name,role,character_name,kdrama_id
96612cd9-183e-4530-9e0d-d85322e6ec4c,Jang Do Yoon,Sing My Crush,Main Role,Han Ba Ram,661d4193916c4e71a2c70473ab11e9e8
96612cd9-183e-4530-9e0d-d85322e6ec4c,Jang Do Yoon,Finland Papa,Support Role,Toto Seung Yoon,69218fd6536e4fbbad34d6b5b7e8e861
96612cd9-183e-4530-9e0d-d85322e6ec4c,Jang Do Yoon,My Sweet Dear,Support Role,Ye Jun,62cf5f2690c54981a959fdfa618605ab
96612cd9-183e-4530-9e0d-d85322e6ec4c,Jang Do Yoon,Lemon Car Video,Main Role,Jang Do Yoon Ep 1,cf055e9897584cbbbaab4ca9cd947fc5
b5f2eca0-6e6b-474d-88ad-46f4feaa0a8e,Son Hyun Woo,Sing My Crush,Main Role,Im Han Tae,661d4193916c4e71a2c70473ab11e9e8
b5f2eca0-6e6b-474d-88ad-46f4feaa0a8e,Son Hyun Woo,Dear X Who Doesn't Love Me,Support Role,Kim Gang Wook,d2ad86fb205f47d3bef8109a626465b5
b5f2eca0-6e6b-474d-88ad-46f4feaa0a8e,Son Hyun Woo,Mood Maker,Support Role,Himself,a87fb7b534c547568401dc1b14640345
b5f2eca0-6e6b-474d-88ad-46f4feaa0a8e,Son Hyun Woo,Room of Romance,Main Role,Son Hyun Woo,8b97823738af4b91bbac05ab76e75b73
16dd9bf1-d058-43ed-ba75-330958c9a661,Bang Yoo In,Sing My Crush,Support Role,Young Mi,661d4193916c4e71a2c70473ab11e9e8
16dd9bf1-d058-43ed-ba75-330958c9a661,Bang Yoo In,Riding Dongdang,Support Role,Kang I Jeong,dabba72913bb4365a129e1702475c9af
16dd9bf1-d058-43ed-ba75-330958c9a661,Bang Yoo In,Tutorial,Support Role,I Je,6be64b323a994613b431862d28ef3a52
16dd9bf1-d058-43ed-ba75-330958c9a661,Bang Yoo In,Secret Crushes Season 3,Main Role,Bang Yoo In,60469984e5104be6a9e7a3aa139e94ab
9ac910e0-0e31-4c09-b5a7-c841dcadffa4,Koo Ja Keon,Sing My Crush,Support Role,Jeong Pal,661d4193916c4e71a2c70473ab11e9e8
9ac910e0-0e31-4c09-b5a7-c841dcadffa4,Koo Ja Keon,Pure Melo District,Support Role,Kim Sung Hoon,9f1b7b541f214cd09e8a0b1103b3f6ad
9ac910e0-0e31-4c09-b5a7-c841dcadffa4,Koo Ja Keon,Kiss Scene in Yeonnamdong,Support Role,Ha Tae Sung,0f73462427ee45d8991f763de47bd61c
9ac910e0-0e31-4c09-b5a7-c841dcadffa4,Koo Ja Keon,All-Boys High,Support Role,Oh Seung Woo,8ed30419c3a240c6bfb64b48a004086a
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,D.P. Season 2,Main Role,Ahn Joon Ho,5ffcbeaa17114714af1959129984274c
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,Snowdrop,Main Role,Im Soo Ho Rim Tae San,6275f94b7ffe42a09fca2f4dc5312949
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,D.P.,Main Role,Ahn Joon Ho,d4d060cfc1ff4c9bbf42f88914566a89
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,A Piece of Your Mind,Main Role,Moon Ha Won,de4f193eae534711992908b5f62f368e
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,One Spring Night,Main Role,Yoo Ji Ho,b11f78cf87c14bf0b472ddf21dea2dc7
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,Something in the Rain,Main Role,Seo Joon Hee,9048410982c243948c5a00e13a2c5085
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,While You Were Sleeping,Main Role,Han Woo Tak,abe351071d93444f8c32d0d81c81d12f
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,Night Light,Support Role,Tak Yi Kyungs bodyguard,22cc3828ce5b417e958fa1d3bf95ce43
bff24fc4-19b0-4418-9b58-9986c0ee602f,Jung Hae In,Blood,Support Role,Joo Hyun Woo Ji Sangs friend,7bfcc3d58ce647708af55866d8ba4633
8ec8cb67-6de5-40a0-872e-a8e5c5bd49e7,Koo Kyo Hwan,D.P. Season 2,Main Role,Han Ho Yul,5ffcbeaa17114714af1959129984274c
8ec8cb67-6de5-40a0-872e-a8e5c5bd49e7,Koo Kyo Hwan,One Day Off,Guest Role,Lee Chang Jin,0c9607d2ecac493a8d83ef254870c401
8ec8cb67-6de5-40a0-872e-a8e5c5bd49e7,Koo Kyo Hwan,Monstrous,Main Role,Jung Ki Hoon,f4c1816bd19b485ea93c579421b19c17
8ec8cb67-6de5-40a0-872e-a8e5c5bd49e7,Koo Kyo Hwan,D.P.,Main Role,Han Ho Yul,d4d060cfc1ff4c9bbf42f88914566a89
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,D.P. Season 2,Main Role,Park Bum Goo,5ffcbeaa17114714af1959129984274c
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,Divorce Attorney Shin,Main Role,Jang Hyung Geun,a765b71b943b40bc96b49a13fd68d8ea
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,Grid,Main Role,Kim Ma Nok,d2e509b0293549bab62b76a9f8630956
9af0aaf1-102b-4b4c-babd-cdbb91fd61f7,Kim Sung Kyun,D.P.,Main Role,Park Bum Goo,d4d060cfc1ff4c9bbf42f88914566a89
